i,sigma_hat,m_hat,alpha_hat,sigmaLogError,mLogError,alphaLogError
1620,5.73E-02,1.870097377,1.008742403,-4.918241401,-2.040970161,-4.739570149
1621,5.73E-02,1.861597968,1.009346467,-4.926343485,-1.977592552,-4.672756854
1622,5.73E-02,1.872362229,1.008583205,-4.922144891,-2.058558937,-4.757947941
1623,5.73E-02,1.881655194,1.007931172,-4.920719935,-2.134152831,-4.836954484
1624,5.73E-02,1.891656739,1.007236501,-4.918213996,-2.222450748,-4.92861748
1625,5.73E-02,1.897453422,1.006837047,-4.922010592,-2.277438164,-4.985399434
1626,5.72E-02,1.887993608,1.007491462,-4.92955691,-2.189199338,-4.89399125
1627,5.72E-02,1.885597045,1.007658385,-4.93913006,-2.168028369,-4.871954208
1628,5.72E-02,1.89701812,1.006867547,-4.93382745,-2.273202225,-4.980948258
1629,5.71E-02,1.890414654,1.00732452,-4.943007575,-2.21105162,-4.916527676
1630,5.71E-02,1.890196767,1.00733972,-4.951989223,-2.209065309,-4.914454604
1631,5.70E-02,1.891111162,1.007276274,-4.960415605,-2.217427754,-4.923136329
1632,5.69E-02,1.886638915,1.007587858,-4.970290142,-2.177177113,-4.881205982
1633,5.69E-02,1.880548916,1.008014847,-4.979830508,-2.12484833,-4.826459605
1634,5.68E-02,1.885758572,1.007649634,-4.984297396,-2.169441277,-4.873097418
1635,5.68E-02,1.888971167,1.007425329,-4.991046726,-2.197965351,-4.902858312
1636,5.67E-02,1.885044743,1.007700006,-5.001187971,-2.163212294,-4.866534161
1637,5.69E-02,1.862021937,1.009337304,-4.982561929,-1.980660569,-4.673737702
1638,5.68E-02,1.84847404,1.010320269,-4.984708309,-1.886998313,-4.573645424
1639,5.68E-02,1.834124474,1.011378408,-4.985236859,-1.796517612,-4.476037776
1640,5.68E-02,1.83296292,1.011464832,-4.994663091,-1.789539457,-4.468471014
1641,5.70E-02,1.852087854,1.01005872,-4.965507125,-1.911136788,-4.599315356
1642,5.69E-02,1.841574617,1.010830112,-4.971297428,-1.842471566,-4.525424866
1643,5.69E-02,1.848286967,1.010337049,-4.973157167,-1.885764482,-4.57202087
1644,5.69E-02,1.835130678,1.011309088,-4.975300209,-1.802602106,-4.482148588
1645,5.70E-02,1.847275414,1.010412664,-4.96635579,-1.879119069,-4.564732485
1646,5.69E-02,1.844643578,1.010606277,-4.975987458,-1.862033304,-4.54630931
1647,5.68E-02,1.838067966,1.011092809,-4.984856681,-1.820578574,-4.501458193
1648,5.68E-02,1.832045732,1.01154177,-4.994007376,-1.784063549,-4.461782621
1649,5.67E-02,1.833812087,1.011409863,-5.001732558,-1.794636126,-4.473277102
1650,5.67E-02,1.827000352,1.011920884,-5.010530869,-1.754465718,-4.429463466
1651,5.66E-02,1.826316204,1.011972482,-5.019899564,-1.7505189,-4.425144395
1652,5.66E-02,1.80983668,1.013228309,-5.014315669,-1.659871997,-4.32539612
1653,5.66E-02,1.812468252,1.013026454,-5.021209796,-1.673807124,-4.340773037
1654,5.65E-02,1.806468495,1.013488293,-5.030397862,-1.642314962,-4.305933156
1655,5.65E-02,1.800889601,1.013920804,-5.039809765,-1.613895841,-4.274370868
1656,5.64E-02,1.796547707,1.014259493,-5.049680014,-1.592323732,-4.25033239
1657,5.64E-02,1.782912778,1.01533544,-5.049059744,-1.527456063,-4.177588767
