 sigma_hat,alpha_hat,m_hat,sigma_hatError,alpha_hatError,m_hatError                                  
   4.8113052909987110E-002 ,  0.96625609370656684      ,   1.6396687645941066      ,   4.8113052909987110E-002 ,  0.96625609370656684      ,  -32664.360331235406     
   4.4876427312574636E-002 ,   1.0163818894746228      ,   1.7677175286689149      ,   4.4876427312574636E-002 ,   1.0163818894746228      ,  -32664.232282471330     
   4.8383355160319372E-002 ,   1.0142335756793910      ,   1.6163068207240665      ,   4.8383355160319372E-002 ,   1.0142335756793910      ,  -32664.383693179276     
   4.6742561219616646E-002 ,   1.0738660845190733      ,   1.7769660650110146      ,   4.6742561219616646E-002 ,   1.0738660845190733      ,  -32664.223033934988     
   4.6779012521956972E-002 ,   1.0883879910841860      ,   1.6614146400466672      ,   4.6779012521956972E-002 ,   1.0883879910841860      ,  -32664.338585359954     
   4.6244530527094624E-002 ,  0.97571712428333768      ,   2.3280204612046442      ,   4.6244530527094624E-002 ,  0.97571712428333768      ,  -32663.671979538794     
   4.7323703991933176E-002 ,  0.95076757531363232      ,   2.0937617923092153      ,   4.7323703991933176E-002 ,  0.95076757531363232      ,  -32663.906238207692     
   4.6991877564311557E-002 ,   1.0282520723446231      ,   1.7564601596852785      ,   4.6991877564311557E-002 ,   1.0282520723446231      ,  -32664.243539840314     
   4.8073575867491142E-002 ,   1.0067192820669151      ,   2.3912743350424819      ,   4.8073575867491142E-002 ,   1.0067192820669151      ,  -32663.608725664959     
   4.5772938654285666E-002 ,   1.0180005025965695      ,   1.8854212240440846      ,   4.5772938654285666E-002 ,   1.0180005025965695      ,  -32664.114578775956     
   4.6499317056780509E-002 ,  0.99215315353072953      ,   1.9975686425424701      ,   4.6499317056780509E-002 ,  0.99215315353072953      ,  -32664.002431357458     
   4.7495674951736802E-002 ,  0.92368356698586918      ,   2.8351688940254820      ,   4.7495674951736802E-002 ,  0.92368356698586918      ,  -32663.164831105976     
   4.9425477933938929E-002 ,   1.0773918959811739      ,   1.7334566612891629      ,   4.9425477933938929E-002 ,   1.0773918959811739      ,  -32664.266543338712     
   4.6615809592344133E-002 ,  0.92430184125740400      ,   2.3326663632212279      ,   4.6615809592344133E-002 ,  0.92430184125740400      ,  -32663.667333636778     
   4.5275728055449382E-002 ,  0.99568679684726746      ,   2.1577134158026849      ,   4.5275728055449382E-002 ,  0.99568679684726746      ,  -32663.842286584197     
   4.5421186596029388E-002 ,   1.0983683500199597      ,   1.9766098491833459      ,   4.5421186596029388E-002 ,   1.0983683500199597      ,  -32664.023390150818     
   4.9017194452004163E-002 ,   1.0173185036856809      ,   2.4827536222545472      ,   4.9017194452004163E-002 ,   1.0173185036856809      ,  -32663.517246377745     
   4.6677053593768010E-002 ,  0.98847899792582250      ,   1.7446291774677727      ,   4.6677053593768010E-002 ,  0.98847899792582250      ,  -32664.255370822531     
   4.5649464010039290E-002 ,  0.93382010440532393      ,   2.1780687546459676      ,   4.5649464010039290E-002 ,  0.93382010440532393      ,  -32663.821931245355     
   4.5963357234889764E-002 ,   1.0221136854888735      ,   2.1682612407167525      ,   4.5963357234889764E-002 ,   1.0221136854888735      ,  -32663.831738759283     
   4.7703885400956672E-002 ,   1.0946204246829578      ,   1.7600088740309592      ,   4.7703885400956672E-002 ,   1.0946204246829578      ,  -32664.239991125971     
   4.6778323646458585E-002 ,  0.95907117913714646      ,   1.8980921837695190      ,   4.6778323646458585E-002 ,  0.95907117913714646      ,  -32664.101907816232     
   4.5883469371819828E-002 ,  0.93510198648600840      ,   2.6353364609494760      ,   4.5883469371819828E-002 ,  0.93510198648600840      ,  -32663.364663539051     
   4.8490613200131066E-002 ,  0.99391381023390024      ,   2.1288425250471463      ,   4.8490613200131066E-002 ,  0.99391381023390024      ,  -32663.871157474954     
   4.8454541192975764E-002 ,   1.0255577985948625      ,   1.9935188306760492      ,   4.8454541192975764E-002 ,   1.0255577985948625      ,  -32664.006481169323     
   4.6242595177850607E-002 ,  0.97801206366086979      ,   2.0535604868444830      ,   4.6242595177850607E-002 ,  0.97801206366086979      ,  -32663.946439513154     
   4.6791486117247351E-002 ,   1.1243962354971526      ,   1.5358993581993337      ,   4.6791486117247351E-002 ,   1.1243962354971526      ,  -32664.464100641802     
   4.4712369896169439E-002 ,  0.91550265518075868      ,   2.3782155904320583      ,   4.4712369896169439E-002 ,  0.91550265518075868      ,  -32663.621784409566     
   4.6973374072353351E-002 ,  0.95533234322040073      ,   2.3550444948251363      ,   4.6973374072353351E-002 ,  0.95533234322040073      ,  -32663.644955505173     
   4.5383373732285341E-002 ,   1.0265428397634118      ,   1.7990259349503877      ,   4.5383373732285341E-002 ,   1.0265428397634118      ,  -32664.200974065050     
   4.8600418735471919E-002 ,  0.99319231003252906      ,   2.1547190245336756      ,   4.8600418735471919E-002 ,  0.99319231003252906      ,  -32663.845280975467     
   4.8724272663168325E-002 ,  0.94131755513482718      ,   2.9408050607740770      ,   4.8724272663168325E-002 ,  0.94131755513482718      ,  -32663.059194939226     
   4.8857678242764879E-002 ,   1.0205826457683336      ,   1.9040565548511841      ,   4.8857678242764879E-002 ,   1.0205826457683336      ,  -32664.095943445151     
   4.7285166077956513E-002 ,  0.97182700508032593      ,   2.1926054611246317      ,   4.7285166077956513E-002 ,  0.97182700508032593      ,  -32663.807394538875     
   4.5459828092932794E-002 ,   1.0554887998139464      ,   1.4567133712860230      ,   4.5459828092932794E-002 ,   1.0554887998139464      ,  -32664.543286628716     
   4.4796026884897117E-002 ,  0.93005570961277317      ,   2.4329777813390474      ,   4.4796026884897117E-002 ,  0.93005570961277317      ,  -32663.567022218660     
   4.8749235699082315E-002 ,   1.0701169260065926      ,   1.7311339895715383      ,   4.8749235699082315E-002 ,   1.0701169260065926      ,  -32664.268866010429     
   4.7805652738915023E-002 ,  0.95779124313978681      ,   1.8593365475923531      ,   4.7805652738915023E-002 ,  0.95779124313978681      ,  -32664.140663452406     
   4.6452195188734217E-002 ,   1.0202178027877313      ,   1.7797729071889250      ,   4.6452195188734217E-002 ,   1.0202178027877313      ,  -32664.220227092810     
   4.7226001768076759E-002 ,   1.0611367546475905      ,   1.7958746726873527      ,   4.7226001768076759E-002 ,   1.0611367546475905      ,  -32664.204125327313     
   4.7764704060826543E-002 ,  0.95986295995068915      ,   2.2910484064364738      ,   4.7764704060826543E-002 ,  0.95986295995068915      ,  -32663.708951593562     
   4.6110744007034750E-002 ,  0.96312073064960257      ,   2.0680860452141832      ,   4.6110744007034750E-002 ,  0.96312073064960257      ,  -32663.931913954784     
   4.8560295090850650E-002 ,   1.0302942490907878      ,   1.8496242114929273      ,   4.8560295090850650E-002 ,   1.0302942490907878      ,  -32664.150375788508     
   4.6269288442906925E-002 ,   1.1210681187739882      ,   1.3637441713886598      ,   4.6269288442906925E-002 ,   1.1210681187739882      ,  -32664.636255828613     
   4.7158427937034439E-002 ,  0.97074050902713904      ,   2.3626892292905710      ,   4.7158427937034439E-002 ,  0.97074050902713904      ,  -32663.637310770708     
   4.5485300023752964E-002 ,   1.0461479041583708      ,   1.9521736113960462      ,   4.5485300023752964E-002 ,   1.0461479041583708      ,  -32664.047826388603     
   4.6618578351994538E-002 ,  0.94970642435600749      ,   2.1684275952068104      ,   4.6618578351994538E-002 ,  0.94970642435600749      ,  -32663.831572404793     
   4.8283680328770874E-002 ,   1.0466141017407000      ,   2.1454852031073544      ,   4.8283680328770874E-002 ,   1.0466141017407000      ,  -32663.854514796894     
   4.8425894525550815E-002 ,  0.99548395753443597      ,   2.3153011792290039      ,   4.8425894525550815E-002 ,  0.99548395753443597      ,  -32663.684698820773     
   4.7696099243696749E-002 ,  0.94835970680251602      ,   2.2396402591542177      ,   4.7696099243696749E-002 ,  0.94835970680251602      ,  -32663.760359740845     
   4.7483993600795166E-002 ,  0.94503143936456524      ,   2.6757629769387732      ,   4.7483993600795166E-002 ,  0.94503143936456524      ,  -32663.324237023062     
   4.7003237666073019E-002 ,  0.94580980235567169      ,   2.2500399284165238      ,   4.7003237666073019E-002 ,  0.94580980235567169      ,  -32663.749960071582     
   4.8584884249345810E-002 ,  0.95206452304004252      ,   2.2858227922483909      ,   4.8584884249345810E-002 ,  0.95206452304004252      ,  -32663.714177207752     
   4.6942768967185251E-002 ,  0.97500387052933346      ,   1.9887690161488498      ,   4.6942768967185251E-002 ,  0.97500387052933346      ,  -32664.011230983851     
   4.8261591500110716E-002 ,   1.0591922181996649      ,   1.7108741738377926      ,   4.8261591500110716E-002 ,   1.0591922181996649      ,  -32664.289125826162     
   4.5249898209181003E-002 ,  0.95833484181192596      ,   2.2297055805907782      ,   4.5249898209181003E-002 ,  0.95833484181192596      ,  -32663.770294419410     
   4.5939766635102547E-002 ,   1.0278531746871269      ,   2.0732375691133225      ,   4.5939766635102547E-002 ,   1.0278531746871269      ,  -32663.926762430885     
   4.7247451548530862E-002 ,   1.0158365006938535      ,   2.2206851471173636      ,   4.7247451548530862E-002 ,   1.0158365006938535      ,  -32663.779314852884     
   4.5488741973572167E-002 ,   1.0038684251778824      ,   2.0096148559160563      ,   4.5488741973572167E-002 ,   1.0038684251778824      ,  -32663.990385144083     
   4.5652390597454996E-002 ,   1.0155060649912697      ,   2.2077478479404693      ,   4.5652390597454996E-002 ,   1.0155060649912697      ,  -32663.792252152060     
   4.6131065984806610E-002 ,   1.0385840123627286      ,   1.7963774574817903      ,   4.6131065984806610E-002 ,   1.0385840123627286      ,  -32664.203622542518     
   4.6570534035459056E-002 ,   1.0645141397863427      ,   1.5924750571559418      ,   4.6570534035459056E-002 ,   1.0645141397863427      ,  -32664.407524942842     
   4.8959505034019399E-002 ,   1.0137274813917569      ,   1.8014115234559347      ,   4.8959505034019399E-002 ,   1.0137274813917569      ,  -32664.198588476545     
   4.7531614998300283E-002 ,   1.0921153173901028      ,   1.4875210579138760      ,   4.7531614998300283E-002 ,   1.0921153173901028      ,  -32664.512478942088     
   4.7385483037058564E-002 ,   1.0155964824711068      ,   2.0177812525775902      ,   4.7385483037058564E-002 ,   1.0155964824711068      ,  -32663.982218747424     
   4.6401692573688529E-002 ,   1.0617291826504731      ,   1.9659195431816057      ,   4.6401692573688529E-002 ,   1.0617291826504731      ,  -32664.034080456819     
   4.8520834072730119E-002 ,  0.98501200237344122      ,   2.1291515715168536      ,   4.8520834072730119E-002 ,  0.98501200237344122      ,  -32663.870848428483     
