 sigma_hat,alpha_hat,m_hat,sigma_hatError,alpha_hatError,m_hatError                                  
   9.9949339928856636E-003 ,  0.69739956350254129      ,  0.62333005399840924      ,   9.9949339928856636E-003 ,  0.69739956350254129      ,  -32542.376669946003     
   1.0083379146748474E-002 ,  0.72981779426538440      ,  0.55990984662578336      ,   1.0083379146748474E-002 ,  0.72981779426538440      ,  -32542.440090153374     
   1.0419234372247352E-002 ,  0.74394340612348797      ,  0.53960322870580835      ,   1.0419234372247352E-002 ,  0.74394340612348797      ,  -32542.460396771294     
   9.8383113132411749E-003 ,  0.69217899218700341      ,  0.62033890522827539      ,   9.8383113132411749E-003 ,  0.69217899218700341      ,  -32542.379661094772     
   1.0609071253892714E-002 ,  0.67651430458650652      ,  0.64145533092231211      ,   1.0609071253892714E-002 ,  0.67651430458650652      ,  -32542.358544669078     
   1.0740971269156135E-002 ,  0.68815342966080451      ,  0.61234394314485430      ,   1.0740971269156135E-002 ,  0.68815342966080451      ,  -32542.387656056857     
   1.0309146866003453E-002 ,  0.75215906398314758      ,  0.54223924492446041      ,   1.0309146866003453E-002 ,  0.75215906398314758      ,  -32542.457760755075     
   1.0207613889263969E-002 ,  0.73703315676872361      ,  0.53005618976740365      ,   1.0207613889263969E-002 ,  0.73703315676872361      ,  -32542.469943810233     
   1.0025134992144611E-002 ,  0.74787427571382648      ,  0.54053861617580323      ,   1.0025134992144611E-002 ,  0.74787427571382648      ,  -32542.459461383824     
   1.0073535108306917E-002 ,  0.67367124292227631      ,  0.63870722897149690      ,   1.0073535108306917E-002 ,  0.67367124292227631      ,  -32542.361292771027     
   9.7890224640414733E-003 ,  0.71840859317454664      ,  0.56760057920118656      ,   9.7890224640414733E-003 ,  0.71840859317454664      ,  -32542.432399420799     
   1.0278666605996179E-002 ,  0.65549294744735609      ,  0.67333325640161457      ,   1.0278666605996179E-002 ,  0.65549294744735609      ,  -32542.326666743600     
   1.0152855915043084E-002 ,  0.73828843334059191      ,  0.55757180602292156      ,   1.0152855915043084E-002 ,  0.73828843334059191      ,  -32542.442428193976     
   1.0296947708660886E-002 ,  0.69401851270679971      ,  0.59834562518518386      ,   1.0296947708660886E-002 ,  0.69401851270679971      ,  -32542.401654374815     
   1.0294462035733211E-002 ,  0.66943606553390556      ,  0.64754090844151080      ,   1.0294462035733211E-002 ,  0.66943606553390556      ,  -32542.352459091559     
   1.0199735984956333E-002 ,  0.69988132814516801      ,  0.59902305270375833      ,   1.0199735984956333E-002 ,  0.69988132814516801      ,  -32542.400976947298     
   9.7547325715417431E-003 ,  0.69947683910953529      ,  0.62251141547637356      ,   9.7547325715417431E-003 ,  0.69947683910953529      ,  -32542.377488584523     
   1.0217631856552780E-002 ,  0.71242817135618908      ,  0.58725434977543234      ,   1.0217631856552780E-002 ,  0.71242817135618908      ,  -32542.412745650225     
   1.0054390400431998E-002 ,  0.67389427005810310      ,  0.65173536415726918      ,   1.0054390400431998E-002 ,  0.67389427005810310      ,  -32542.348264635842     
   1.0090344323704599E-002 ,  0.68410236488759357      ,  0.61908862834771905      ,   1.0090344323704599E-002 ,  0.68410236488759357      ,  -32542.380911371652     
   9.7940950209132824E-003 ,  0.70704876843931341      ,  0.59030941135284676      ,   9.7940950209132824E-003 ,  0.70704876843931341      ,  -32542.409690588647     
   1.0035820609990155E-002 ,  0.71822844475778469      ,  0.58062256363749554      ,   1.0035820609990155E-002 ,  0.71822844475778469      ,  -32542.419377436363     
   1.0184490176205254E-002 ,  0.74179671113459389      ,  0.54373334153316266      ,   1.0184490176205254E-002 ,  0.74179671113459389      ,  -32542.456266658468     
   1.0126059617873991E-002 ,  0.72226126277494473      ,  0.55761859615008991      ,   1.0126059617873991E-002 ,  0.72226126277494473      ,  -32542.442381403849     
   1.0145568606431685E-002 ,  0.69557307964186121      ,  0.59351707024207978      ,   1.0145568606431685E-002 ,  0.69557307964186121      ,  -32542.406482929757     
   1.0328699365641443E-002 ,  0.70692692087202147      ,  0.56659049933987427      ,   1.0328699365641443E-002 ,  0.70692692087202147      ,  -32542.433409500660     
   1.0002876336523968E-002 ,  0.75293934474022195      ,  0.53767811248519304      ,   1.0002876336523968E-002 ,  0.75293934474022195      ,  -32542.462321887513     
   9.4027155667327847E-003 ,  0.70671595972496837      ,  0.58326697615743295      ,   9.4027155667327847E-003 ,  0.70671595972496837      ,  -32542.416733023842     
