 sigma_hat,alpha_hat,m_hat
   1.4925028297741835E-002 ,   2.5131357144260460      ,   14.509827895075778     
   1.4800182718411766E-002 ,   2.5057674063540549      ,   14.453679270379208     
   1.5033369401706799E-002 ,   2.5010295213324101      ,   14.457969000617069     
   1.5015334340548957E-002 ,   2.4986468561118760      ,   15.005971671584893     
   1.5046098642228341E-002 ,   2.5016884566930333      ,   15.956981167770641     
   1.4885159819015290E-002 ,   2.4803341752011332      ,   14.509860143831071     
   1.4933468574883896E-002 ,   2.5087803802542075      ,   13.970068973621318     
   1.4951914544899478E-002 ,   2.5026805176051221      ,   14.388021249253235     
   1.5005728632701339E-002 ,   2.4974308725402219      ,   15.067340317980522     
   1.4933222938193946E-002 ,   2.5040117536444386      ,   14.435678915485569     
   1.4960130491624049E-002 ,   2.5000790177859891      ,   14.188191719002129     
   1.4996263673561662E-002 ,   2.5045994853837019      ,   14.689762246015569     
   1.4959417728870890E-002 ,   2.4995995250376088      ,   14.238586720892195     
   1.4884433337197035E-002 ,   2.5014025746189272      ,   15.183903195244094     
   1.4936896076741625E-002 ,   2.4962993712716357      ,   15.237698762503264     
   1.5041014011004513E-002 ,   2.5118195139173487      ,   14.342219376633247     
   1.4954002684415142E-002 ,   2.4961080943201392      ,   15.234908066655860     
   1.4988812175285330E-002 ,   2.5112134746938164      ,   14.622143598217406     
   1.4835273876504311E-002 ,   2.5036999260333723      ,   14.924010204239670     
   1.5067617551473738E-002 ,   2.4896066961751235      ,   14.684187241313971     
   1.5002614179490836E-002 ,   2.5070375111263585      ,   15.317642823031251     
   1.4979199401049338E-002 ,   2.4939010720085384      ,   15.626648185212288     
   1.4909653010537597E-002 ,   2.5031756677352570      ,   14.402407314270981     
   1.4981021007463499E-002 ,   2.5102402297195279      ,   15.311622406936047     
   1.5009818663363065E-002 ,   2.5040693638060865      ,   15.678936645665400     
   1.4957472816398143E-002 ,   2.5021945715175984      ,   15.872798280786622     
   1.5019538758825893E-002 ,   2.4914607373919577      ,   14.838414122862163     
   1.5008921309503868E-002 ,   2.5056363648542677      ,   14.894228013239449     
   1.4991955188929373E-002 ,   2.5159395348928331      ,   15.749309159546822     
   1.4984849605817589E-002 ,   2.5079422331950996      ,   15.327340293061837     
   1.5019534445194192E-002 ,   2.4985633373742937      ,   15.514091967416212     
   1.4968897628346915E-002 ,   2.5050834554081263      ,   14.383737166321621     
   1.4936746131902877E-002 ,   2.4901704943342331      ,   15.034250092268966     
   1.5001398983665868E-002 ,   2.5002513246640303      ,   14.574583547324707     
   1.5010661271460928E-002 ,   2.5074283708777041      ,   14.655598089398929     
   1.4910244043324784E-002 ,   2.4906422382726676      ,   15.567334157672621     
   1.5053445165555440E-002 ,   2.5052041736281696      ,   15.383540509348075     
